iter	Passed	Remaining
398	144515	36581
399	144860	36215
400	145220	35852
401	145578	35489
402	145947	35128
403	146297	34763
404	146641	34397
405	147021	34039
406	147384	33677
407	147727	33311
408	148072	32945
409	148419	32579
410	148773	32216
411	149125	31851
412	149476	31487
413	149824	31123
414	150183	30760
415	150526	30394
416	150884	30032
417	151230	29667
418	151574	29301
419	151920	28937
420	152270	28573
421	152619	28209
422	152973	27846
423	153326	27483
424	153678	27119
425	154033	26756
426	154390	26394
427	154734	26030
428	155081	25666
429	155419	25300
430	155771	24937
431	156123	24575
432	156478	24212
433	156828	23849
434	157177	23486
435	157530	23123
436	157920	22766
437	158290	22406
438	158639	22043
439	158987	21680
440	159343	21318
441	159693	20955
442	160043	20592
443	160394	20229
444	160742	19867
445	161086	19503
446	161437	19141
447	161787	18778
448	162142	18417
449	162486	18054
450	162833	17691
451	163178	17328
452	163544	16968
453	163897	16606
454	164248	16244
455	164604	15882
456	164947	15520
457	165301	15158
458	165654	14796
459	166007	14435
460	166354	14073
461	166694	13710
462	167049	13349
463	167394	12987
464	167745	12625
465	168091	12264
466	168440	11902
467	168800	11541
468	169206	11184
469	169552	10822
470	169903	10461
471	170246	10099
472	170596	9738
473	170937	9376
474	171276	9014
475	171622	8653
476	171963	8291
477	172314	7930
478	172659	7569
479	173013	7208
480	173367	6848
481	173725	6487
482	174079	6127
483	174428	5766
484	174878	5408
485	175307	5050
486	175715	4690
487	176064	4329
488	176417	3968
489	176763	3607
490	177107	3246
491	177458	2885
492	177799	2524
493	178148	2163
494	178504	1803
495	178859	1442
496	179209	1081
497	179565	721
498	179946	360
499	180315	0
